F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Core\ExxerAI.Domain\Operations\CancellationAwareResult.cs:82 | Class: CancellationAwareResult | Method: WrapCancellationAware | Return: Task<Result>
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\AgentsControllerMissingEndpointsTests.cs:370 | Class: ExistingEndpointMutationHuntingTests | Method: UpdateAgentStatus_Should_HandleNotFoundError_When_ErrorContainsNotFound | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\AgentsControllerMissingEndpointsTests.cs:387 | Class: ExistingEndpointMutationHuntingTests | Method: DeleteAgent_Should_HandleNotFoundError_When_ErrorContainsNotFound | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\AgentsControllerMissingEndpointsTests.cs:403 | Class: ExistingEndpointMutationHuntingTests | Method: DeleteAgent_Should_HandleGenericFailure_When_ErrorDoesNotContainNotFound | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\AgentsControllerMissingEndpointsTests.cs:419 | Class: ExistingEndpointMutationHuntingTests | Method: Should_HandleNullErrorInResult_When_ServiceReturnsNullError | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\AgentsControllerMissingEndpointsTests.cs:439 | Class: ExistingEndpointMutationHuntingTests | Method: Should_HandleEmptyStringErrorInResult_When_ServiceReturnsEmptyError | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\ComprehensiveUnitTestExample.cs:335 | Class: DocumentIngestionServiceTests | Method: StartWatchingFolderAsync_ShouldReturnWatchSessionId_When_ValidFolderIdProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\ComprehensiveUnitTestExample.cs:356 | Class: DocumentIngestionServiceTests | Method: StartWatchingFolderAsync_ShouldReturnFailure_When_InvalidFolderIdProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\ComprehensiveUnitTestExample.cs:370 | Class: DocumentIngestionServiceTests | Method: IngestDocumentAsync_ShouldProcessThroughPipeline_When_ValidDocumentProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\ComprehensiveUnitTestExample.cs:401 | Class: DocumentIngestionServiceTests | Method: IngestDocumentAsync_ShouldReturnFailure_When_ProcessingFails | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\ComprehensiveUnitTestExample.cs:428 | Class: DocumentIngestionServiceTests | Method: IngestDocumentAsync_ShouldHandleCancellation_When_CancellationRequested | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\ComprehensiveUnitTestExample.cs:447 | Class: DocumentIngestionServiceTests | Method: GetIngestionStatusAsync_ShouldReturnStatus_When_SystemActive | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\ComprehensiveUnitTestExample.cs:468 | Class: DocumentIngestionServiceTests | Method: CompleteWorkflow_ShouldProcessDocumentEndToEnd_When_AllComponentsWorking | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\ComprehensiveUnitTestExample.cs:571 | Class: DocumentIngestionServiceInterfaceTests | Method: MockedInterface_ShouldWorkCorrectly_When_SetupWithNSubstitute | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\ComprehensiveUnitTestExample.cs:657 | Class: BusinessLogicAndEdgeCaseTests | Method: ConcurrentProcessing_ShouldRespectLimits_When_MultipleRequestsReceived | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\ComprehensiveUnitTestExample.cs:703 | Class: BusinessLogicAndEdgeCaseTests | Method: SimulateDocumentProcessing | Return: Task<bool>
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\Controllers\AgentsControllerTests\CreateAgentEndpointTests.cs:24 | Class: CreateAgentEndpointTests | Method: Should_ReturnCreatedWithAgent_When_ValidRequestProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\Controllers\AgentsControllerTests\CreateAgentEndpointTests.cs:71 | Class: CreateAgentEndpointTests | Method: Should_ReturnBadRequest_When_InvalidRequestProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\Controllers\AgentsControllerTests\CreateAgentEndpointTests.cs:88 | Class: CreateAgentEndpointTests | Method: Should_ReturnBadRequest_When_ServiceFails | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\Controllers\AgentsControllerTests\CreateAgentEndpointTests.cs:121 | Class: CreateAgentEndpointTests | Method: Should_HandleMultipleModelStateErrors_When_ValidationFails | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\Controllers\AgentsControllerTests\DeleteAgentEndpointTests.cs:24 | Class: DeleteAgentEndpointTests | Method: Should_ReturnOk_When_AgentDeletedSuccessfully | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\Controllers\AgentsControllerTests\DeleteAgentEndpointTests.cs:40 | Class: DeleteAgentEndpointTests | Method: Should_ReturnNotFound_When_AgentDoesNotExist | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\Controllers\AgentsControllerTests\DeleteAgentEndpointTests.cs:56 | Class: DeleteAgentEndpointTests | Method: Should_ReturnBadRequest_When_EmptyGuidProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\Controllers\AgentsControllerTests\DeleteAgentEndpointTests.cs:68 | Class: DeleteAgentEndpointTests | Method: DeleteAgent_Should_HandleNotFoundError_When_ErrorContainsNotFound | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\Controllers\AgentsControllerTests\DeleteAgentEndpointTests.cs:83 | Class: DeleteAgentEndpointTests | Method: DeleteAgent_Should_HandleGenericFailure_When_ErrorDoesNotContainNotFound | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\Controllers\AgentsControllerTests\GetActiveAgentsEndpointTests.cs:24 | Class: GetActiveAgentsEndpointTests | Method: Should_ReturnOkWithAgents_When_AgentsExist | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\Controllers\AgentsControllerTests\GetActiveAgentsEndpointTests.cs:52 | Class: GetActiveAgentsEndpointTests | Method: Should_ReturnOkWithEmptyList_When_NoAgentsExist | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\Controllers\AgentsControllerTests\GetActiveAgentsEndpointTests.cs:71 | Class: GetActiveAgentsEndpointTests | Method: Should_ReturnBadRequest_When_ServiceFails | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\Controllers\AgentsControllerTests\GetAgentByIdEndpointTests.cs:24 | Class: GetAgentByIdEndpointTests | Method: Should_ReturnOkWithAgent_When_AgentExists | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\Controllers\AgentsControllerTests\GetAgentByIdEndpointTests.cs:47 | Class: GetAgentByIdEndpointTests | Method: Should_ReturnNotFound_When_AgentDoesNotExist | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\Controllers\AgentsControllerTests\GetAgentByIdEndpointTests.cs:68 | Class: GetAgentByIdEndpointTests | Method: Should_ReturnBadRequest_When_EmptyGuidProvided | Return: Task
